time,speed,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,mileage,datetime,year,month,day,hour,minute,second,time_interval,soc_rate,mile_rate,used_soc,mile,driving_time,motor_voltage_rate,motor_current_rate,total_voltage_rate,total_current_rate,total_power_transient,motor_power_transient,total_power,motor_power,temp_diff,soc_start,cut_point,brake_ratio,stop_ratio,accelerate_ratio,work_condition,work_condition_color,work_condition_0,work_condition_1,work_condition_2,work_condition_3
63644005456.0,0.0,532.3,1.0,54.0,21.0,13.0,535.0,0.0,37068.9,2018-01-20 10:24:16,2018.0,1.0,20.0,10.0,24.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,532.3,0.0,532.3,0.0,8.0,54.0,-1.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63644005466.0,0.0,532.2,1.0,54.0,21.0,13.0,535.0,0.0,37068.9,2018-01-20 10:24:26,2018.0,1.0,20.0,10.0,24.0,26.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,-1.0,532.2,0.0,1064.5,0.0,8.0,54.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63644005476.0,0.0,532.2,0.0,54.0,21.0,13.0,535.0,0.0,37068.9,2018-01-20 10:24:36,2018.0,1.0,20.0,10.0,24.0,36.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.5,0.0,8.0,54.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63644005486.0,0.0,532.2,0.0,54.0,21.0,13.0,535.0,0.0,37068.9,2018-01-20 10:24:46,2018.0,1.0,20.0,10.0,24.0,46.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.5,0.0,8.0,54.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63644005496.0,0.0,532.2,0.0,54.0,21.0,13.0,535.0,0.0,37068.9,2018-01-20 10:24:56,2018.0,1.0,20.0,10.0,24.0,56.0,10.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.5,0.0,8.0,54.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63644005506.0,0.0,532.2,0.0,54.0,21.0,13.0,535.0,0.0,37068.9,2018-01-20 10:25:06,2018.0,1.0,20.0,10.0,25.0,6.0,10.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.5,0.0,8.0,54.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63644005516.0,0.0,532.2,0.0,54.0,21.0,13.0,535.0,0.0,37068.9,2018-01-20 10:25:16,2018.0,1.0,20.0,10.0,25.0,16.0,10.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.5,0.0,8.0,54.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63644005526.0,0.0,532.2,0.0,54.0,21.0,13.0,535.0,0.0,37068.9,2018-01-20 10:25:26,2018.0,1.0,20.0,10.0,25.0,26.0,10.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.5,0.0,8.0,54.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63644005536.0,0.0,532.2,0.0,54.0,21.0,13.0,535.0,0.0,37068.9,2018-01-20 10:25:36,2018.0,1.0,20.0,10.0,25.0,36.0,10.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.5,0.0,8.0,54.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
63644005546.0,0.0,532.2,0.0,54.0,21.0,13.0,535.0,0.0,37068.9,2018-01-20 10:25:46,2018.0,1.0,20.0,10.0,25.0,46.0,10.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.1,0.0,0.0,0.0,1064.5,0.0,8.0,54.0,0.0,0.0,1.0,0.0,0,red,1.0,0.0,0.0,0.0
