days,time,home,shopping
saturday,0,0.0022159,0
saturday,0.5,0.0022159,0
saturday,1,0.0022159,0
saturday,1.5,0.0022159,0
saturday,2,0.0022159,0
saturday,2.5,0.0022159,0
saturday,3,0.0022159,0
saturday,3.5,0.0022159,0
saturday,4,0.0022159,0
saturday,4.5,0.0022159,0
saturday,5,0.0022159,0
saturday,5.5,0.0022159,0
saturday,6,0.0012926,0.0019611
saturday,6.5,0.0012926,0.0019611
saturday,7,0.0012926,0.0019611
saturday,7.5,0.0012926,0.0019611
saturday,8,0.0012926,0.0019611
saturday,8.5,0.0012926,0.0019611
saturday,9,0.0077556,0.0122569
saturday,9.5,0.0077556,0.0122569
saturday,10,0.0077556,0.0122569
saturday,10.5,0.0077556,0.0122569
saturday,11,0.0155113,0.0120935
saturday,11.5,0.0155113,0.0120935
saturday,12,0.0155113,0.0120935
saturday,12.5,0.0155113,0.0120935
saturday,13,0.0155113,0.0120935
saturday,13.5,0.0155113,0.0120935
saturday,14,0.0129261,0.0058833
saturday,14.5,0.0129261,0.0058833
saturday,15,0.0129261,0.0058833
saturday,15.5,0.0129261,0.0058833
saturday,16,0.0129261,0.0058833
saturday,16.5,0.0129261,0.0058833
saturday,17,0.0161576,0.0039222
saturday,17.5,0.0161576,0.0039222
saturday,18,0.0161576,0.0039222
saturday,18.5,0.0161576,0.0039222
saturday,19,0.0161576,0.0039222
saturday,19.5,0.0161576,0.0039222
saturday,20,0.0084019,0.0006537
saturday,20.5,0.0084019,0.0006537
saturday,21,0.0084019,0.0006537
saturday,21.5,0.0084019,0.0006537
saturday,22,0.0084019,0.0006537
saturday,22.5,0.0084019,0.0006537
saturday,23,0.0022159,0
saturday,23.5,0.0022159,0
sunday,0,0.0014662,0
sunday,0.5,0.0014662,0
sunday,1,0.0014662,0
sunday,1.5,0.0014662,0
sunday,2,0.0014662,0
sunday,2.5,0.0014662,0
sunday,3,0.0014662,0
sunday,3.5,0.0014662,0
sunday,4,0.0014662,0
sunday,4.5,0.0014662,0
sunday,5,0.0014662,0
sunday,5.5,0.0014662,0
sunday,6,0.0006842,0.0005562
sunday,6.5,0.0006842,0.0005562
sunday,7,0.0006842,0.0005562
sunday,7.5,0.0006842,0.0005562
sunday,8,0.0006842,0.0005562
sunday,8.5,0.0006842,0.0005562
sunday,9,0.0051317,0.003838
sunday,9.5,0.0051317,0.003838
sunday,10,0.0051317,0.003838
sunday,10.5,0.0051317,0.003838
sunday,11,0.0123161,0.0011681
sunday,11.5,0.0123161,0.0011681
sunday,12,0.0123161,0.0011681
sunday,12.5,0.0123161,0.0011681
sunday,13,0.0123161,0.0011681
sunday,13.5,0.0123161,0.0011681
sunday,14,0.015053,0.0008344
sunday,14.5,0.015053,0.0008344
sunday,15,0.015053,0.0008344
sunday,15.5,0.015053,0.0008344
sunday,16,0.015053,0.0008344
sunday,16.5,0.015053,0.0008344
sunday,17,0.0225795,0.0003337
sunday,17.5,0.0225795,0.0003337
sunday,18,0.0225795,0.0003337
sunday,18.5,0.0225795,0.0003337
sunday,19,0.0225795,0.0003337
sunday,19.5,0.0225795,0.0003337
sunday,20,0.0109477,0.0001112
sunday,20.5,0.0109477,0.0001112
sunday,21,0.0109477,0.0001112
sunday,21.5,0.0109477,0.0001112
sunday,22,0.0109477,0.0001112
sunday,22.5,0.0109477,0.0001112
sunday,23,0.0014662,0
sunday,23.5,0.0014662,0
weekdays,0,0.0008422,0
weekdays,0.5,0.0008422,0
weekdays,1,0.0008422,0
weekdays,1.5,0.0008422,0
weekdays,2,0.0008422,0
weekdays,2.5,0.0008422,0
weekdays,3,0.0008422,0
weekdays,3.5,0.0008422,0
weekdays,4,0.0008422,0
weekdays,4.5,0.0008422,0
weekdays,5,0.0008422,0
weekdays,5.5,0.0008422,0
weekdays,6,0.0006538,0.0010059
weekdays,6.5,0.0006538,0.0010059
weekdays,7,0.0006538,0.0010059
weekdays,7.5,0.0006538,0.0010059
weekdays,8,0.0006538,0.0010059
weekdays,8.5,0.0006538,0.0010059
weekdays,9,0.0098183,0.0145658
weekdays,9.5,0.0098183,0.0145658
weekdays,10,0.0098183,0.0145658
weekdays,10.5,0.0098183,0.0145658
weekdays,11,0.0196402,0.0120564
weekdays,11.5,0.0196402,0.0120564
weekdays,12,0.0196402,0.0120564
weekdays,12.5,0.0196402,0.0120564
weekdays,13,0.0196402,0.0120564
weekdays,13.5,0.0196402,0.0120564
weekdays,14,0.0150562,0.0060282
weekdays,14.5,0.0150562,0.0060282
weekdays,15,0.0150562,0.0060282
weekdays,15.5,0.0150562,0.0060282
weekdays,16,0.0150562,0.0060282
weekdays,16.5,0.0150562,0.0060282
weekdays,17,0.0150562,0.00402
weekdays,17.5,0.0150562,0.00402
weekdays,18,0.0150562,0.00402
weekdays,18.5,0.0150562,0.00402
weekdays,19,0.0150562,0.00402
weekdays,19.5,0.0150562,0.00402
weekdays,20,0.0058917,0.0006682
weekdays,20.5,0.0058917,0.0006682
weekdays,21,0.0058917,0.0006682
weekdays,21.5,0.0058917,0.0006682
weekdays,22,0.0058917,0.0006682
weekdays,22.5,0.0058917,0.0006682
weekdays,23,0.0008422,0
weekdays,23.5,0.0008422,0
